"Taxon","Institution","Museum No.","Island","Taxon-Island","New_Taxonomy","New_Taxonomy_Island","Sex","Wing","Tail","Blength","Bdepth","Bwidth","Tarsus"
"G. scandens","Stanford University",4518,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",68.5,41.5,16,9,7.2,20.2
"G. scandens","Stanford University",4592,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",70.2,43,17.5,8.2,7.5,21
"G. scandens","Stanford University",4543,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",69,41.2,17.2,8,7,20.5
"G. scandens","Stanford University",4594,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",71,43,17,9,7.5,22
"G. scandens","Stanford University",4595,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",67.5,40,17.2,8.5,7.2,20.2
"G. scandens","Stanford University",4596,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",68,41.2,17,9,7.2,22.2
"G. scandens","Stanford University",4597,"Santiago","scandensSantiago","G. scandens","scandensSantiago","Male",68,42,17.8,9,8,22.5
"G. scandens","CAS",7200,"Pinzon","scandensPinzon","G. scandens","scandensPinzon","Male",70,43,18.5,9,7.2,21.5
"G. scandens","CAS",7201,"Pinzon","scandensPinzon","G. scandens","scandensPinzon","Male",70,41,19.5,9.5,8,21.2
"G. scandens","CAS",7202,"Pinzon","scandensPinzon","G. scandens","scandensPinzon","Male",70.2,43,18.2,9.5,7.5,22.2
"G. scandens","CAS",7203,"Pinzon","scandensPinzon","G. scandens","scandensPinzon","Male",70,42,19.5,10,8,23
"G. scandens","CAS",7204,"Pinzon","scandensPinzon","G. scandens","scandensPinzon","Male",69,40.5,18.2,9.5,8,22.8
"G. scandens","CAS",7153,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",72.5,43.2,21,10,7.5,22.5
"G. scandens","CAS",7147,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",71,42,19.8,9,8,22.5
"G. scandens","CAS",7146,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",73,43,20.2,10,8,23
"G. scandens","CAS",7148,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",70,43,19.5,9.2,8,23
"G. scandens","CAS",7151,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",72,42.8,21,10,8.2,22.5
"G. scandens","CAS",7251,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",70,43.2,20.5,10,8.2,22
"G. scandens","CAS",7162,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",70.5,41.5,19.8,9.2,8,22
"G. scandens","CAS",7149,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",72.5,43.5,20.2,10,8.2,22.5
"G. scandens","CAS",7150,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",70.5,44,19.5,9.5,7.8,22
"G. scandens","CAS",7165,"Santa Cruz","scandensSanta Cruz","G. scandens","scandensSanta Cruz","Male",70,41.5,20,9.5,8,21.5
"G. scandens","CAS",7195,"Rabida","scandensRabida","G. scandens","scandensRabida","Male",70.5,43.5,17.2,9,6.2,21
"G. scandens","CAS",7196,"Rabida","scandensRabida","G. scandens","scandensRabida","Male",71,42,19,9,8,21
"G. scandens","CAS",7197,"Rabida","scandensRabida","G. scandens","scandensRabida","Male",71,45,19.5,8.5,7.5,22
"G. scandens","CAS",7198,"Rabida","scandensRabida","G. scandens","scandensRabida","Male",72.2,43,16.5,8.5,7.2,21
"G. scandens","CAS",7199,"Rabida","scandensRabida","G. scandens","scandensRabida","Male",72.5,45,18,9,7.5,21
"G. scandens","CAS",7124,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",68.2,39,17.5,9.8,8.2,22
"G. scandens","CAS",7113,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",67.2,42.5,18,9,8,22.5
"G. scandens","CAS",7114,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",73,44.2,20,10,8,23
"G. scandens","CAS",7123,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",72,45.2,18.2,9.5,8,23.2
"G. scandens","CAS",7125,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",69.8,43.1,17.2,9.8,7.5,22.2
"G. scandens","CAS",7129,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",70,43.2,18,10.2,8.5,22
"G. scandens","CAS",7116,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",67,43.5,18,9.8,8.5,22.5
"G. scandens","CAS",7117,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",71.5,46.5,17,9,7.8,22.2
"G. scandens","CAS",7118,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",69.5,43,18.5,10,8.2,22
"G. scandens","CAS",7119,"Santa Fe","scandensSanta Fe","G. scandens","scandensSanta Fe","Male",70,44.5,19.8,10,8.2,23.2
"G. scandens","CAS",7039,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",69,43.5,17,8.5,7.5,22.5
"G. scandens","CAS",7042,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",71.2,44.5,17,9.2,7.5,22
"G. scandens","CAS",7026,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",70.5,41.5,18.2,9.2,7.5,22.5
"G. scandens","CAS",7057,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",68.5,44,18,9,7.5,22
"G. scandens","CAS",7020,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",72,44,18.2,9.2,8,23
"G. scandens","CAS",7022,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",71.5,45.5,18.5,9.2,8,22
"G. scandens","CAS",7041,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",66.8,41.5,17.2,9,7.5,21
"G. scandens","CAS",7021,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",71.8,43.5,17.5,9.5,8,21.5
"G. scandens","CAS",7038,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",68.5,45,18,9.2,7.5,22
"G. scandens","CAS",7054,"Floreana","scandensFloreana","G. scandens","scandensFloreana","Male",71.5,42,18,9.5,7.5,23
"G. conirostris","CAS",4987,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",77,48.5,19.5,12.2,9.5,23
"G. conirostris","Stanford University",5005,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",74,46,20.5,13.5,10,23
"G. conirostris","Stanford University",5233,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",72.5,46.5,18.2,12,9.5,23.5
"G. conirostris","Stanford University",5109,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",73,43,18,12.2,9.5,25
"G. conirostris","Stanford University",5171,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",73,46.8,20,13,10,25
"G. conirostris","Stanford University",5129,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",74.5,46.5,18.8,13.2,10,23
"G. conirostris","Stanford University",5214,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",77,48,20,13.8,10.5,24.5
"G. conirostris","Stanford University",5281,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",77,48.5,20.5,14,10.5,24.2
"G. conirostris","CAS",4988,"Genovesa","conirostrisGenovesa","G. propinqua","propinquaGenovesa","Male",73,43,20.5,12,9.5,25.5
"G. conirostris","CAS",4992,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",77.5,50,19,14.5,11,23.2
"G. conirostris","CAS",5007,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",83.5,47.5,23.5,18.5,13,24.2
"G. conirostris","CAS",5010,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",79,48.2,22.8,17.2,12.5,24
"G. conirostris","CAS",5011,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",80.8,51.8,22,18,13,24
"G. conirostris","CAS",5016,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",74,45.5,20.5,15.2,11.5,23.5
"G. conirostris","CAS",5021,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",77,44.5,21,15.2,11.8,23
"G. conirostris","CAS",5024,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",77.2,46,20,16,12.5,24
"G. conirostris","CAS",5025,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",79,50,21.5,17,13,24.2
"G. conirostris","CAS",5030,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",78.5,46.5,22.2,16.5,12.8,23.8
"G. conirostris","CAS",5031,"Espanola","conirostrisEspanola","G. conirostris","conirostrisEspanola","Male",76,47,21,15.8,11,22.5
"G. conirostris","CAS",4996,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",79,48.5,18.5,14,10,23
"G. conirostris","CAS",4998,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",77,49.5,19.8,14.2,10.8,23.2
"G. conirostris","CAS",5005,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",79.5,51,18.5,14,11,22.5
"G. conirostris","CAS",5013,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",78,45.5,19,13.5,11,22.2
"G. conirostris","CAS",5015,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",75.2,45.5,19.8,15.5,11.2,23
"G. conirostris","CAS",5046,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",79.2,48,21,15.2,11.5,23.5
"G. conirostris","CAS",5044,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",74.5,46,19.5,14,10.8,23
"G. conirostris","CAS",4999,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",79,45.8,20,15.2,11.2,23.2
"G. conirostris","CAS",4990,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",74,47,18,12.5,9.2,22
"G. conirostris","CAS",5098,"Gardner","conirostrisGardner","G. conirostris","conirostrisEspanola","Male",75.2,48,22,16.2,12.2,24
